Top Level Category,Link,Sub-Level Category,Link,Sub-Sub-level Category,Link
"Personal Protective Equipment (PPE)","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-~c~A","Head Protection","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Head-Protection~c~AA","Safety Helmets & Hard Hats","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Head-Protection/Safety-Helmets-and-Hard-Hats~c~AAA"
,,,,"Bump Caps","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Head-Protection/Bump-Caps~c~AAB"
,,,,"Helmet Accessories","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Head-Protection/Helmet-Accessories~c~AAC"
,,"Safety Glasses and Goggles","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Safety-Glasses-and-Goggles~c~AB","Eyewear Accessories","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Safety-Glasses-and-Goggles/Eyewear-Accessories~c~ABA"
,,,,"Overspecs","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Safety-Glasses-and-Goggles/Overspecs~c~ABB"
,,,,"Protective Safety Glasses - Clear","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Safety-Glasses-and-Goggles/Protective-Safety-Glasses-Clear~c~ABC"
,,,,"Protective Safety Glasses - Tinted","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Safety-Glasses-and-Goggles/Protective-Safety-Glasses-Tinted~c~ABD"
,,,,"Safety Goggles","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Safety-Glasses-and-Goggles/Safety-Goggles~c~ABE"
,,"Face Protection","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Face-Protection~c~AC","Browguards","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Face-Protection/Browguards~c~ACA"
,,,,"Visor Holders / Face Shield Carriers","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Face-Protection/Visor-Holders-Face-Shield-Carriers~c~ACB"
,,,,"Visors","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Face-Protection/Visors~c~ACC"
,,"Hearing Protection","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Hearing-Protection~c~AD","Corded / Banded Ear Plugs","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Hearing-Protection/Corded-Banded-Ear-Plugs~c~ADA"
,,,,"Disposable Ear Plugs","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Hearing-Protection/Disposable-Ear-Plugs~c~ADB"
,,,,"Ear Muffs","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Hearing-Protection/Ear-Muffs~c~ADC"
,,,,"Helmet Mounted Ear Muffs","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Hearing-Protection/Helmet-Mounted-Ear-Muffs~c~ADD"
,,,,"Dispensers & Refills","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Hearing-Protection/Dispensers-and-Refills~c~ADE"
